,K,pc,s,mu,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,URstable,NumInitials,C_s,difference,x_pos_invades,x_neg_invades
40,0.341345,0.5,0.5,0.5,0.0,0.472081,0.472081,0.055838,1.0,1.0,2.841345,0.0,30,-0.1956516495827582,0.0,False,True
41,0.341345,0.5,0.5,0.5,0.33,0.469876,0.469876,0.060248,0.844941,0.844941,2.633357,0.0,30,-0.2018617239516595,0.0,False,True
42,0.341345,0.5,0.5,0.5,0.66,0.467323,0.467323,0.065354,0.691567,0.691567,2.42763,0.0,30,-0.2090510614831255,0.0,False,True
43,0.341345,0.5,0.5,0.5,1.0,0.464245,0.464245,0.07151,0.535755,0.535755,2.218632,0.0,30,-0.2177200077900024,0.0,False,True
44,0.382925,0.308538,0.5,0.0,0.0,0.433175,0.433175,0.133651,1.0,1.0,2.308538,0.0,30,-0.15250575332279542,0.0,False,True
45,0.382925,0.308538,0.5,0.0,0.33,0.428811,0.428811,0.142378,0.858492,0.858492,2.16703,0.0,30,-0.16246444523809062,0.0,False,True
46,0.382925,0.308538,0.5,0.0,0.66,0.423958,0.423958,0.152084,0.720188,0.720188,2.028725,0.0,30,-0.17354019236924645,0.0,False,True
47,0.382925,0.308538,0.5,0.0,1.0,0.418383,0.418383,0.163234,0.581617,0.581617,1.890155,0.0,30,-0.18626267515854494,0.0,False,True
48,0.624655,0.066807,1.0,-0.5,0.0,0.415473,0.415473,0.169055,1.0,1.0,1.825077,0.0,20,0.05097326602248346,0.0,True,False
49,0.624655,0.066807,1.0,-0.5,0.33,0.410433,0.410433,0.179135,0.864557,0.864557,1.722375,0.0,30,0.03651214345851189,0.0,True,False
50,0.624655,0.066807,1.0,-0.5,0.66,0.404915,0.404915,0.19017,0.732756,0.732756,1.622434,0.0,30,0.020682252457020225,0.0,True,False
51,0.624655,0.066807,1.0,-0.5,1.0,0.398691,0.398691,0.202617,0.601309,0.601309,1.522761,0.0,30,0.002825366536942273,0.0,True,False
52,0.624655,0.308538,1.0,0.5,0.0,0.486902,0.486902,0.026196,1.0,1.0,2.550268,0.0,20,-0.22531477392286117,0.0,False,True
53,0.624655,0.308538,1.0,0.5,0.33,0.485793,0.485793,0.028414,0.839688,0.839688,2.351204,0.0,30,-0.229217024977356,0.0,False,True
54,0.624655,0.308538,1.0,0.5,0.66,0.484487,0.484487,0.031027,0.680239,0.680239,2.153211,0.0,30,-0.23381404461474015,0.0,False,True
55,0.624655,0.308538,1.0,0.5,1.0,0.482876,0.482876,0.034248,0.517124,0.517124,1.950666,0.0,30,-0.23948236123500002,0.0,False,True
56,0.682689,0.158655,1.0,0.0,0.0,0.463251,0.463251,0.073497,1.0,1.0,2.158655,0.0,20,-0.11209328239998674,0.0,False,True
57,0.682689,0.158655,1.0,0.0,0.33,0.460469,0.460469,0.079063,0.848045,0.848045,2.006701,0.0,30,-0.12058135443154878,0.0,False,True
58,0.682689,0.158655,1.0,0.0,0.66,0.457278,0.457278,0.085443,0.698196,0.698196,1.856851,0.0,30,-0.13031240768330005,0.0,False,True
59,0.682689,0.158655,1.0,0.0,1.0,0.453478,0.453478,0.093043,0.546522,0.546522,1.705177,0.0,30,-0.14190358216134946,0.0,False,True
60,0.841344,0.0,3.0,-2.0,0.33,0.453755,0.453755,0.092491,0.850261,0.850261,1.715363,0.0,30,0.11993701588598757,0.0,True,False
61,0.841344,0.0,3.0,-2.0,0.66,0.450152,0.450152,0.099697,0.7029,0.7029,1.591382,0.0,30,0.1068748361674596,0.0,True,False
62,0.841344,0.0,3.0,-2.0,1.0,0.445896,0.445896,0.108209,0.554104,0.554104,1.466193,0.0,30,0.09144405669799997,0.0,True,False
63,0.841344,0.158655,3.0,2.0,0.33,0.5,0.5,0.0,0.835,0.835,2.126132,0.0,30,-0.20883700451422266,0.0,False,True
64,0.841344,0.158655,3.0,2.0,0.66,0.5,0.5,0.0,0.67,0.67,1.934954,0.0,30,-0.2088370647802969,0.0,False,True
65,0.841344,0.158655,3.0,2.0,1.0,0.5,0.5,0.0,0.5,0.5,1.737983,0.0,30,-0.20883710796881078,0.0,False,True
66,0.993558,0.000233,3.0,-0.5,0.33,0.498304,0.498304,0.003392,0.83556,0.83556,1.830798,0.0,30,0.007124808587669384,0.0,True,False
67,0.993558,0.000233,3.0,-0.5,0.66,0.498138,0.498138,0.003724,0.671229,0.671229,1.66745,0.0,30,0.00618132536762055,0.0,True,False
68,0.993558,0.000233,3.0,-0.5,1.0,0.497929,0.497929,0.004142,0.502071,0.502071,1.499303,0.0,30,0.004995401188870008,0.0,True,False
69,0.993558,0.00621,3.0,0.5,0.33,0.499937,0.499937,0.000126,0.835021,0.835021,1.846221,0.0,30,-0.017027263325088835,0.0,False,True
70,0.993558,0.00621,3.0,0.5,0.66,0.499931,0.499931,0.000138,0.670046,0.670046,1.68026,0.0,30,-0.017073744882933315,0.0,False,True
71,0.993558,0.00621,3.0,0.5,1.0,0.499923,0.499923,0.000154,0.500077,0.500077,1.509276,0.0,30,-0.01713231501421901,0.0,False,True
72,0.9973,0.00135,3.0,0.0,0.33,0.499632,0.499632,0.000735,0.835121,0.835121,1.836471,0.0,30,-0.0024132417075673983,0.0,False,True
73,0.9973,0.00135,3.0,0.0,0.66,0.499596,0.499596,0.000808,0.670266,0.670266,1.671616,0.0,30,-0.0026512359369245133,0.0,False,True
74,0.9973,0.00135,3.0,0.0,1.0,0.499551,0.499551,0.000899,0.500449,0.500449,1.501799,0.0,30,-0.002951026343697131,0.0,False,True
