,mu,K,pc,s,beta,u1init,u2init,buinit,r1init,r2init,u1eq,u2eq,bueq,r1eq,r2eq,Weq,time,reached_eq,URstable
56,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.9,0.08,0.02,0.3,0.5,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
57,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.9,0.08,0.02,0.9,0.85,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
58,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.9,0.08,0.02,0.89,0.2,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
59,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.9,0.08,0.02,0.2,0.9,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
60,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.05,0.1,0.85,0.05,0.1,0.1377745349829182,0.1377745349829203,0.7244509300341614,1.0,1.0,1.1613550499947176,500000,True,0.0
61,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.05,0.1,0.85,0.5,0.3,0.1377745349829183,0.1377745349829203,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,True,0.0
62,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.05,0.1,0.85,0.85,0.9,0.1377745349829183,0.1377745349829203,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,True,0.0
63,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.05,0.1,0.85,0.2,0.89,0.1377745349829182,0.1377745349829203,0.7244509300341614,1.0,1.0,1.1613550499947176,500000,True,0.0
64,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.05,0.1,0.85,0.9,0.2,0.1377745349829215,0.1377745349829171,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,True,0.0
65,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.48,0.4,0.12,0.05,0.1,0.1377745349829182,0.1377745349829203,0.7244509300341614,1.0,1.0,1.1613550499947176,500000,True,0.0
66,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.48,0.4,0.12,0.5,0.3,0.1377745349829215,0.1377745349829171,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,True,0.0
67,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.48,0.4,0.12,0.85,0.9,0.1377745349829215,0.1377745349829171,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,True,0.0
68,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.48,0.4,0.12,0.2,0.89,0.1377745349829182,0.1377745349829203,0.7244509300341614,1.0,1.0,1.1613550499947176,500000,True,0.0
69,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.48,0.4,0.12,0.9,0.2,0.1377745349829215,0.1377745349829171,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,True,0.0
70,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.08,0.9,0.02,0.05,0.1,0.1377745349829182,0.1377745349829203,0.7244509300341614,1.0,1.0,1.1613550499947176,500000,False,0.0
71,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.08,0.9,0.02,0.5,0.3,0.1377745349829183,0.1377745349829203,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,False,0.0
72,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.08,0.9,0.02,0.85,0.9,0.1377745349829183,0.1377745349829203,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,False,0.0
73,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.08,0.9,0.02,0.2,0.89,0.1377745349829183,0.1377745349829203,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,False,0.0
74,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.08,0.9,0.02,0.9,0.2,0.1377745349829183,0.1377745349829203,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,False,0.0
75,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.1,0.05,0.85,0.1,0.05,0.1377745349829203,0.1377745349829182,0.7244509300341614,1.0,1.0,1.1613550499947176,500000,True,0.0
76,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.1,0.05,0.85,0.3,0.5,0.1377745349829203,0.1377745349829183,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,True,0.0
77,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.1,0.05,0.85,0.9,0.85,0.1377745349829203,0.1377745349829183,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,True,0.0
78,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.1,0.05,0.85,0.89,0.2,0.1377745349829203,0.1377745349829182,0.7244509300341614,1.0,1.0,1.1613550499947176,500000,True,0.0
79,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.1,0.05,0.85,0.2,0.9,0.1377745349829171,0.1377745349829215,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,True,0.0
80,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.4,0.48,0.12,0.1,0.05,0.1377745349829203,0.1377745349829182,0.7244509300341614,1.0,1.0,1.1613550499947176,500000,True,0.0
81,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.4,0.48,0.12,0.3,0.5,0.1377745349829171,0.1377745349829215,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,True,0.0
82,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.4,0.48,0.12,0.9,0.85,0.1377745349829171,0.1377745349829215,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,True,0.0
83,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.4,0.48,0.12,0.89,0.2,0.1377745349829203,0.1377745349829182,0.7244509300341614,1.0,1.0,1.1613550499947176,500000,True,0.0
84,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.4,0.48,0.12,0.2,0.9,0.1377745349829171,0.1377745349829215,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,True,0.0
85,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.9,0.08,0.02,0.1,0.05,0.1377745349829203,0.1377745349829182,0.7244509300341614,1.0,1.0,1.1613550499947176,500000,False,0.0
86,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.9,0.08,0.02,0.3,0.5,0.1377745349829203,0.1377745349829183,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,False,0.0
87,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.9,0.08,0.02,0.9,0.85,0.1377745349829203,0.1377745349829183,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,False,0.0
88,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.9,0.08,0.02,0.89,0.2,0.1377745349829203,0.1377745349829183,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,False,0.0
89,-2.0,0.1573053558998269,0.0013498980316301,1.0,0.0,0.9,0.08,0.02,0.2,0.9,0.1377745349829203,0.1377745349829183,0.7244509300341615,1.0,1.0,1.1613550499947172,500000,False,0.0
90,-2.0,0.841344459416971,2.866515719235352e-07,3.0,0.0,0.05,0.1,0.85,0.05,0.1,0.2619233790826503,0.6519139374367766,0.0861626834805729,1.0,1.0,1.8413453193716869,500000,False,0.0
91,-2.0,0.841344459416971,2.866515719235352e-07,3.0,0.0,0.05,0.1,0.85,0.5,0.3,0.4273741448362463,0.4864631716831807,0.0861626834805729,1.0,1.0,1.8413453193716869,500000,False,0.0
92,-2.0,0.841344459416971,2.866515719235352e-07,3.0,0.0,0.05,0.1,0.85,0.85,0.9,0.3404122662783391,0.5734250502410879,0.0861626834805729,1.0,1.0,1.8413453193716869,500000,False,0.0
93,-2.0,0.841344459416971,2.866515719235352e-07,3.0,0.0,0.05,0.1,0.85,0.2,0.89,0.1975815381430274,0.7162557783763998,0.0861626834805729,1.0,1.0,1.8413453193716864,500000,False,0.0
94,-2.0,0.841344459416971,2.866515719235352e-07,3.0,0.0,0.05,0.1,0.85,0.9,0.2,0.5819158126216871,0.33192150389774,0.0861626834805729,1.0,1.0,1.8413453193716869,500000,False,0.0
95,-2.0,0.841344459416971,2.866515719235352e-07,3.0,0.0,0.48,0.4,0.12,0.05,0.1,0.3756704407182256,0.5381668758012014,0.0861626834805729,1.0,1.0,1.8413453193716869,500000,False,0.0
96,-2.0,0.841344459416971,2.866515719235352e-07,3.0,0.0,0.48,0.4,0.12,0.5,0.3,0.5652493088991496,0.3485880076202776,0.0861626834805729,1.0,1.0,1.8413453193716864,500000,False,0.0
97,-2.0,0.841344459416971,2.866515719235352e-07,3.0,0.0,0.48,0.4,0.12,0.85,0.9,0.4772306120109293,0.4366067045084978,0.0861626834805729,1.0,1.0,1.8413453193716864,500000,False,0.0
98,-2.0,0.841344459416971,2.866515719235352e-07,3.0,0.0,0.48,0.4,0.12,0.2,0.89,0.2699762250803039,0.6438610914391232,0.0861626834805729,1.0,1.0,1.8413453193716869,500000,False,0.0
99,-2.0,0.841344459416971,2.866515719235352e-07,3.0,0.0,0.48,0.4,0.12,0.9,0.2,0.6803507539726855,0.2334865625467417,0.0861626834805729,1.0,1.0,1.8413453193716864,500000,False,0.0
100,-2.0,0.841344459416971,2.866515719235352e-07,3.0,0.0,0.08,0.9,0.02,0.05,0.1,0.1595855192560203,0.7542517972634067,0.0861626834805729,1.0,1.0,1.8413453193716869,500000,False,0.0
